Date,Open,High,Low,Close,Volume,Adj Close
09/04/2012,22.9,23.07,22.85,22.93,946600,19.68883
05/04/2012,23.01,23.2,23.01,23.12,2165600,19.85198
04/04/2012,23.03,23.1,22.89,22.98,3739000,19.73176
03/04/2012,23.45,23.46,23.1,23.26,3390000,19.97219
02/04/2012,23.4,23.74,23.34,23.63,1962000,20.28988
30/03/2012,23.52,23.55,23.36,23.51,2442700,20.18685
29/03/2012,23.2,23.43,23.05,23.39,4290300,20.08381
28/03/2012,23.42,23.47,23.17,23.38,2480600,20.07522
27/03/2012,23.52,23.55,23.35,23.35,1489000,20.04947
26/03/2012,23.44,23.58,23.43,23.56,1713600,20.22978
23/03/2012,23,23.24,22.88,23.2,2505100,19.92067
22/03/2012,22.83,22.93,22.74,22.88,2756800,19.6459
21/03/2012,23.1,23.15,22.98,23.11,2313000,19.84339
20/03/2012,23.19,23.26,23.08,23.22,1694300,19.93784
19/03/2012,23.55,23.83,23.51,23.73,2096000,20.37575
16/03/2012,23.62,23.67,23.57,23.62,11836600,20.2813
15/03/2012,23.32,23.5,23.24,23.48,2069400,20.16109
14/03/2012,23.31,23.34,23.06,23.18,2260200,19.90349
13/03/2012,23.17,23.48,23.12,23.45,2709400,20.13533
12/03/2012,22.94,22.99,22.83,22.96,1876800,19.71459
09/03/2012,23.18,23.33,23.11,23.15,1859300,19.87773
08/03/2012,23.1,23.27,22.99,23.2,2345100,19.92067
07/03/2012,22.69,22.91,22.65,22.87,2551300,19.63731
06/03/2012,22.86,22.88,22.61,22.74,3297700,19.52569
05/03/2012,23.63,23.64,23.42,23.51,1657600,20.18685
02/03/2012,23.78,23.8,23.65,23.72,2770900,20.36716
01/03/2012,23.86,24,23.81,23.9,4322000,20.52172
29/02/2012,24.1,24.18,23.67,23.75,7614500,20.39292
28/02/2012,23.76,23.86,23.68,23.81,2764500,20.44444
27/02/2012,23.57,23.93,23.48,23.8,2794900,20.43586
24/02/2012,23.81,23.95,23.73,23.76,3524600,20.40151
23/02/2012,23.61,23.74,23.51,23.72,2838900,20.36716
22/02/2012,23.48,23.59,23.43,23.48,3041700,20.16109
21/02/2012,23.58,23.67,23.47,23.52,3876000,20.19543
17/02/2012,23.33,23.34,23.09,23.19,3334400,19.91208
16/02/2012,23.11,23.42,23.04,23.37,3130500,20.06664
15/02/2012,23.47,23.51,23.21,23.26,2544100,19.97219
14/02/2012,23.45,23.5,23.14,23.33,4796200,20.03229
13/02/2012,23.69,23.75,23.58,23.65,3310500,20.30706
10/02/2012,23.32,23.36,23.21,23.27,2534100,19.98077
09/02/2012,24,24.01,23.8,23.88,1731900,20.50455
08/02/2012,23.97,24.06,23.77,23.9,1714400,20.52172
07/02/2012,23.84,23.96,23.73,23.86,3427000,20.48738
06/02/2012,23.77,23.88,23.71,23.87,4365600,20.49596
03/02/2012,23.87,24.06,23.8,24.02,5972100,20.62476
02/02/2012,23.69,23.8,23.56,23.67,2592900,20.32423
01/02/2012,23.6,23.82,23.6,23.66,3266700,20.31565
31/01/2012,23.6,23.62,23.26,23.42,2357800,20.10957
30/01/2012,23.2,23.44,23.09,23.37,2136100,20.06664
27/01/2012,23.44,23.65,23.39,23.6,2510400,20.26413
26/01/2012,23.72,23.8,23.38,23.5,3090900,20.17826
25/01/2012,22.93,23.5,22.82,23.43,4276300,20.11816
24/01/2012,22.71,22.91,22.64,22.84,4090700,19.61155
23/01/2012,23.01,23.17,22.9,23.02,2865800,19.76611
20/01/2012,22.84,22.95,22.79,22.94,2817000,19.69742
19/01/2012,22.82,22.89,22.73,22.84,2679100,19.61155
18/01/2012,22.57,22.89,22.51,22.88,2133500,19.6459
17/01/2012,22.59,22.67,22.43,22.48,2381800,19.30244
13/01/2012,22.18,22.32,21.93,22.3,4374200,19.14788
12/01/2012,22.49,22.52,22.21,22.48,2735200,19.30244
11/01/2012,22.24,22.42,22.17,22.38,1164400,19.21657
10/01/2012,22.28,22.35,22.18,22.25,1645300,19.10495
09/01/2012,21.78,21.83,21.59,21.83,1627700,18.74432
06/01/2012,21.88,21.88,21.59,21.76,3673200,18.68421
05/01/2012,21.99,22.1,21.81,22.05,1865800,18.93322
04/01/2012,22.21,22.38,22.07,22.34,2432800,19.18223
03/01/2012,21.96,22.19,21.95,22.08,2787500,18.95898
30/12/2011,21.37,21.55,21.31,21.44,1498900,18.40944
29/12/2011,21.18,21.48,21.13,21.45,2127200,18.41803
28/12/2011,21.58,21.58,21.09,21.11,2277100,18.12609
27/12/2011,21.74,21.86,21.69,21.75,1930700,18.67562
23/12/2011,21.72,21.82,21.66,21.79,1324300,18.70997
22/12/2011,21.54,21.75,21.49,21.67,1853500,18.60693
21/12/2011,21.49,21.51,21.25,21.47,2839700,18.4352
20/12/2011,21.24,21.48,21.21,21.46,3213200,18.42662
19/12/2011,21.75,21.79,21.31,21.36,3479700,17.78091
16/12/2011,22.05,22.18,21.78,21.89,7286000,18.22211
15/12/2011,22.15,22.15,21.84,21.89,11313700,18.22211
14/12/2011,22,22.1,21.74,21.87,3547200,18.20546
13/12/2011,22.6,22.83,22.05,22.17,3115000,18.45519
12/12/2011,22.58,22.63,22.3,22.44,2468600,18.67995
09/12/2011,22.78,23.18,22.7,23.15,2168100,19.27098
08/12/2011,23.26,23.28,22.7,22.76,3531100,18.94633
07/12/2011,23.34,23.63,23.19,23.53,2508600,19.58731
06/12/2011,23.41,23.59,23.31,23.4,2961700,19.47909
05/12/2011,23.79,23.88,23.53,23.69,3767100,19.7205
02/12/2011,23.66,23.69,23.29,23.31,3835800,19.40417
01/12/2011,23.04,23.27,22.93,23.04,4830700,19.17941
30/11/2011,23.07,23.28,23.02,23.26,7341000,19.36255
29/11/2011,21.91,22.09,21.81,21.89,3889200,18.22211
28/11/2011,21.79,21.86,21.44,21.63,2782100,18.00567
25/11/2011,20.7,21.04,20.68,20.7,1901300,17.2315
23/11/2011,21.08,21.12,20.78,20.82,2629000,17.33139
22/11/2011,21.52,21.74,21.4,21.58,2031400,17.96405
21/11/2011,21.71,21.75,21.36,21.57,3112900,17.95572
18/11/2011,22.47,22.49,22.21,22.26,2349800,18.53011
17/11/2011,22.76,22.85,22.17,22.3,4261800,18.56341
16/11/2011,22.96,23.26,22.76,22.78,3545000,18.96298
15/11/2011,23.16,23.41,23,23.29,1979900,19.38752
14/11/2011,23.39,23.43,23.07,23.24,1973900,19.3459
11/11/2011,23.51,23.91,23.5,23.8,2412200,19.81207
10/11/2011,23.27,23.29,22.81,23.13,3557900,19.25433
09/11/2011,23.15,23.17,22.73,22.76,2327200,18.94633
08/11/2011,23.75,24.04,23.54,23.97,2602100,19.95358
07/11/2011,23.52,23.71,23.27,23.67,3289000,19.70385
04/11/2011,23.44,23.58,23.07,23.51,6823600,19.57066
03/11/2011,23.44,23.71,23,23.62,4024200,19.66223
02/11/2011,23.16,23.3,22.84,23.14,3926500,19.26266
01/11/2011,22.67,23.2,22.59,22.86,6185300,19.02957
31/10/2011,24.13,24.16,23.74,23.74,4277300,19.76212
28/10/2011,24.65,24.92,24.61,24.87,5198900,20.70278
27/10/2011,24.93,25.32,24.66,25.16,5289200,20.94418
26/10/2011,23.45,23.52,22.97,23.45,4166500,19.52071
25/10/2011,23.42,23.49,23.06,23.12,7267800,19.24601
24/10/2011,23.32,23.85,23.31,23.76,4297000,19.77877
21/10/2011,22.82,23.07,22.71,23.02,8927800,19.16276
20/10/2011,22.54,22.61,22.1,22.54,3865100,18.76319
19/10/2011,22.93,23.1,22.5,22.6,3286300,18.81314
18/10/2011,22.55,23.24,22.25,23.02,5188400,19.16276
17/10/2011,23.07,23.11,22.58,22.68,6862900,18.87973
14/10/2011,23.19,23.36,23.08,23.32,2916000,19.41249
13/10/2011,22.66,22.91,22.42,22.85,3266000,19.02125
12/10/2011,22.76,23.11,22.7,22.77,4598400,18.95465
11/10/2011,22.07,22.39,22.01,22.37,4737900,18.62168
10/10/2011,22.13,22.48,22.1,22.42,4478400,18.6633
07/10/2011,21.85,21.89,21.29,21.43,7450400,17.83918
06/10/2011,20.8,21.35,20.67,21.3,4630400,17.73096
05/10/2011,20.1,20.48,19.9,20.41,6150700,16.9901
04/10/2011,19.14,19.85,18.91,19.84,8500000,16.5156
03/10/2011,19.82,20.09,19.37,19.4,6360400,16.14933
30/09/2011,20.24,20.54,20.03,20.06,4121100,16.69874
29/09/2011,21,21.18,20.33,20.75,4859600,17.27312
28/09/2011,21.27,21.43,20.62,20.67,4417700,17.20653
27/09/2011,21.43,21.66,21.13,21.24,5291900,17.68102
26/09/2011,20.33,20.64,19.96,20.6,8038000,17.14826
23/09/2011,19.94,20.3,19.91,20.07,7576800,16.70707
22/09/2011,20.1,20.2,19.64,19.93,8443200,16.59052
21/09/2011,21.9,21.96,21.07,21.09,4542400,17.55615
20/09/2011,22.12,22.33,21.87,21.89,4877000,18.22211
