Date,Open,High,Low,Close,Volume,Adj Close
09/04/2012,27.35,27.61,27.31,27.46,1399600,25.6468
05/04/2012,27.86,27.94,27.59,27.71,1267400,25.88029
04/04/2012,28.06,28.13,27.67,27.87,1967000,26.02973
03/04/2012,28.7,28.79,28.24,28.37,1406800,26.49672
02/04/2012,28.31,28.87,28.27,28.8,1644300,26.89832
30/03/2012,28.41,28.48,28.19,28.34,1208700,26.4687
29/03/2012,28.2,28.3,27.78,28.3,6181000,26.43134
28/03/2012,28.52,28.61,28.17,28.36,1721000,26.48738
27/03/2012,28.9,28.95,28.61,28.63,936400,26.73955
26/03/2012,28.68,28.9,28.68,28.87,1237000,26.9637
23/03/2012,28.19,28.4,28.06,28.37,1273000,26.49672
22/03/2012,28.15,28.24,28.05,28.11,1515300,26.25389
21/03/2012,28.51,28.6,28.37,28.55,1145100,26.66483
20/03/2012,28.45,28.55,28.18,28.53,1227400,26.64615
19/03/2012,28.68,28.9,28.65,28.76,916800,26.86096
16/03/2012,28.64,28.78,28.62,28.72,1327600,26.8236
15/03/2012,28.36,28.72,28.26,28.53,1176400,26.64615
14/03/2012,28.67,28.74,28.21,28.32,1270200,26.45002
13/03/2012,28.4,28.79,28.38,28.79,1047000,26.88898
12/03/2012,28.51,28.6,28.27,28.34,1101600,26.4687
09/03/2012,28.57,28.76,28.52,28.59,852900,26.70219
08/03/2012,28.27,28.61,28.17,28.48,1575500,26.59945
07/03/2012,27.94,28.09,27.7,27.99,1276900,26.14181
06/03/2012,28.1,28.14,27.75,27.91,2686400,26.06709
05/03/2012,28.92,28.94,28.57,28.63,950200,26.73955
02/03/2012,29.18,29.37,28.99,29.05,1008700,27.13181
01/03/2012,29.23,29.41,29.14,29.32,1799700,27.38399
29/02/2012,29.26,29.43,28.94,29.02,3692600,27.1038
28/02/2012,28.95,29.12,28.81,29.1,1437500,27.17851
27/02/2012,28.72,28.93,28.54,28.85,1545000,26.94502
24/02/2012,28.97,29.05,28.86,28.9,1203200,26.99172
23/02/2012,28.93,29,28.74,29,1397400,27.08512
22/02/2012,28.65,28.93,28.61,28.87,1641700,26.9637
21/02/2012,28.58,28.88,28.49,28.75,3163000,26.85163
17/02/2012,28.61,28.61,28.28,28.38,914900,26.50606
16/02/2012,27.98,28.48,27.92,28.48,1373300,26.59945
15/02/2012,28.28,28.28,27.98,28.09,1562800,26.2352
14/02/2012,28.05,28.12,27.82,28.03,1424100,26.17917
13/02/2012,28.24,28.35,28.06,28.14,1545400,26.2819
10/02/2012,28,28.09,27.88,28,1877600,26.15115
09/02/2012,28.6,28.68,28.36,28.44,2722200,26.5621
08/02/2012,28.57,28.73,28.3,28.51,1515500,26.62747
07/02/2012,28.52,28.62,28.22,28.5,4610100,26.61813
06/02/2012,28.46,28.75,28.46,28.61,1806800,26.72087
03/02/2012,28.73,28.8,28.55,28.78,3194000,26.87964
02/02/2012,28.4,28.58,28.3,28.46,1366900,26.58077
01/02/2012,28.47,28.55,28.33,28.36,4049400,26.48738
31/01/2012,28.33,28.47,27.89,28.11,4552500,26.25389
30/01/2012,27.9,28.16,27.79,28.07,3172300,26.21653
27/01/2012,28.08,28.39,28.08,28.26,2376000,26.39398
26/01/2012,28.57,28.63,28.11,28.19,1717000,26.3286
25/01/2012,27.7,28.42,27.59,28.35,2451000,26.47804
24/01/2012,27.97,28,27.78,27.86,4580900,26.02039
23/01/2012,27.84,28.28,27.84,28.24,2424800,26.3753
20/01/2012,27.69,27.78,27.62,27.75,911900,25.91766
19/01/2012,27.79,27.97,27.69,27.79,1078100,25.95502
18/01/2012,27.25,27.67,27.22,27.63,1369200,25.80558
17/01/2012,27.42,27.49,27.18,27.29,1121500,25.48803
13/01/2012,27.07,27.13,26.71,27.13,901200,25.33859
12/01/2012,27.31,27.42,27.11,27.34,1020200,25.53473
11/01/2012,27.35,27.36,27.14,27.2,3173100,25.40397
10/01/2012,27.39,27.49,27.33,27.33,973700,25.52539
09/01/2012,27,27.01,26.75,26.98,1731800,25.1985
06/01/2012,27.2,27.2,26.78,26.9,906400,25.12378
05/01/2012,27.06,27.29,26.96,27.18,1024000,25.38529
04/01/2012,27.27,27.42,27.16,27.35,1414100,25.54407
03/01/2012,27.15,27.43,27.08,27.4,6790400,25.59076
30/12/2011,26.25,26.62,26.2,26.6,2737600,24.84359
29/12/2011,25.9,26.24,25.89,26.19,1862700,24.46066
28/12/2011,26.35,26.45,25.83,25.9,1912800,24.18981
27/12/2011,26.28,26.46,26.26,26.31,1345700,24.57274
23/12/2011,26.35,26.49,26.33,26.4,1477600,24.6568
22/12/2011,25.95,26.29,25.84,26.28,3570900,24.54472
