Date,Open,High,Low,Close,Volume,Adj Close
09/04/2012,37.91,38.34,37.82,38,200100,36.13704
05/04/2012,38.6,39.01,38.35,38.46,180000,36.57448
04/04/2012,38.95,39.09,38.47,38.75,153400,36.85027
03/04/2012,39.84,39.84,39.15,39.48,138600,37.54448
02/04/2012,39.33,40.18,39.27,39.88,269000,37.92487
30/03/2012,39.41,39.53,39.01,39.42,419500,37.48742
29/03/2012,38.92,39.17,38.5,39.1,384700,37.18311
28/03/2012,39.54,39.64,38.89,39.17,108300,37.24967
27/03/2012,40.32,40.32,39.75,39.79,205700,37.83928
26/03/2012,40.26,40.36,40.01,40.21,244000,38.23869
23/03/2012,39.59,40.1,39.41,39.98,423600,37.94103
22/03/2012,39.99,40.02,39.3,39.48,329000,37.46653
21/03/2012,40.77,40.77,40.31,40.43,310700,38.36808
20/03/2012,40.98,40.98,40.58,40.76,126500,38.68125
19/03/2012,41.15,41.57,41.1,41.4,76200,39.28861
16/03/2012,40.71,41.29,40.71,41.17,98700,39.07034
15/03/2012,40.59,40.87,40.34,40.7,84800,38.62431
14/03/2012,41.12,41.12,40.4,40.54,161100,38.47247
13/03/2012,40.85,41.19,40.56,41.18,120600,39.07983
12/03/2012,41.08,41.12,40.52,40.68,115200,38.60533
09/03/2012,41.21,41.57,41.07,41.17,97500,39.07034
08/03/2012,40.95,41.27,40.72,41.1,110000,39.00391
07/03/2012,40.48,40.76,40.16,40.66,206300,38.58635
06/03/2012,40.5,40.5,40.05,40.33,190000,38.27318
05/03/2012,41.5,41.5,40.93,41.17,249800,39.07034
02/03/2012,42.14,42.18,41.53,41.69,152200,39.56382
01/03/2012,42.03,42.34,41.88,42.27,154000,40.11424
29/02/2012,42.5,42.68,41.67,41.78,162800,39.64923
28/02/2012,42.4,42.62,42.12,42.39,232700,40.22812
27/02/2012,42.37,42.58,42.05,42.35,123600,40.19016
24/02/2012,42.6,42.73,42.46,42.54,111000,40.37047
23/02/2012,42.26,42.54,41.97,42.52,162900,40.35149
22/02/2012,42.03,42.37,41.95,42.17,146600,40.01934
21/02/2012,41.98,42.23,41.88,42.05,148700,39.90546
17/02/2012,41.89,42,41.47,41.65,239400,39.52586
16/02/2012,40.9,41.67,40.71,41.63,136600,39.50688
15/02/2012,41.12,41.26,40.83,40.94,282400,38.85207
14/02/2012,40.89,41,40.57,40.94,340600,38.85207
13/02/2012,41.13,41.21,40.73,40.96,146400,38.87105
10/02/2012,40.82,40.86,40.54,40.76,135100,38.68125
09/02/2012,41.37,41.45,41,41.26,99600,39.15575
08/02/2012,41.43,41.55,41,41.23,153000,39.12728
07/02/2012,41.19,41.43,40.73,41.37,143700,39.26014
06/02/2012,40.74,41.31,40.65,41.27,191600,39.16524
03/02/2012,40.89,41.03,40.61,40.99,261100,38.89952
02/02/2012,40.19,40.65,40.12,40.43,245300,38.36808
01/02/2012,40.25,40.45,40.05,40.14,271800,38.09287
31/01/2012,40.45,40.49,39.66,39.92,150400,37.88409
30/01/2012,39.87,40.15,39.54,40.07,479100,38.02644
27/01/2012,40,40.5,40,40.34,277000,38.28267
26/01/2012,40.9,41.06,40.05,40.21,238700,38.1593
25/01/2012,39.7,40.7,39.25,40.6,196200,38.52941
24/01/2012,39.64,39.8,39.41,39.77,294100,37.74174
23/01/2012,39.67,40.03,39.64,39.97,225700,37.93154
20/01/2012,39.54,39.7,39.28,39.5,169900,37.48551
19/01/2012,39.75,39.82,39.5,39.59,299400,37.57092
18/01/2012,38.75,39.54,38.7,39.52,148800,37.50449
17/01/2012,39.17,39.27,38.7,38.84,231300,36.85917
13/01/2012,38.74,38.74,38.3,38.67,147000,36.69784
12/01/2012,39.17,39.32,38.86,39.03,93100,37.03948
