Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,34.48,34.65,34.21,34.49,346600,34.49
2015-04-01,33.25,35.54,33.06,34.62,204800,34.62
2015-03-02,35.51,35.54,32.53,33.24,272700,33.24
2015-02-02,34.44,36.18,33.72,35.56,329600,35.23241
2015-01-02,35.64,35.95,33.98,34.3,303800,33.98401
2014-12-01,38.07,38.8,34.67,36.04,365400,35.70798
2014-11-03,35.72,38.94,35.51,38,272600,37.28445
2014-10-01,34.06,36.73,32.76,35.85,171500,35.17494
2014-09-02,36.38,36.93,34.09,34.18,166200,33.53639
2014-08-01,34.91,36.7,34.52,36.5,141600,35.47158
2014-07-01,37.41,37.69,34.39,34.9,173900,33.91666
2014-06-02,37.76,38.76,36.71,37.24,188000,36.19073
2014-05-01,35.19,38.61,35.07,37.77,117000,36.37237
2014-04-01,36.03,36.18,33.91,35.27,116800,33.96488
2014-03-03,35.17,36.75,34.39,35.95,163200,34.61972
2014-02-03,35.02,35.75,33.21,35.35,175700,33.72783
2014-01-02,34.37,35,32.95,34.89,164700,33.28894
2013-12-02,35.19,35.41,33.56,34.44,177600,32.85959
2013-11-01,35.03,35.95,34.37,35.39,183400,33.43431
2013-10-01,32.9,36.05,32.55,35.06,296600,33.12254
2013-09-03,33.3,34.85,31.65,33.12,273600,31.28975
2013-08-01,30.64,31.98,29.37,30.77,176000,28.78061
2013-07-01,29.32,31.55,29.32,30.61,264300,28.63096
2013-06-03,34.8,35.39,28.15,29.19,347000,27.30276
2013-05-01,35.56,37.48,34.53,34.71,137900,32.15172
2013-04-01,68.98,69.85,34.06,36.06,183600,33.40222
2013-03-01,68.2,70.01,66.37,69.11,137600,32.00814
2013-02-01,67.26,69.35,65.34,68.63,176800,31.78583
2013-01-02,66.01,67.47,64.24,67.28,103100,31.16059
2012-12-03,65.26,66.54,64.01,65.14,116400,30.16945
2012-11-01,64.37,65.24,61.62,64.83,177300,29.7311
2012-10-01,62.64,65.15,61.21,64.31,190400,29.49263
2012-09-04,61.71,64.06,61.3,62.53,285000,28.67632
2012-08-01,61.49,64.59,60.41,61.87,270200,28.09532
2012-07-02,58.77,61.89,58.15,61.3,231400,27.83648
2012-06-01,56.34,58.75,55.17,58.48,195300,26.55591
2012-05-01,58.52,58.97,55.1,56.69,180100,25.47743
2012-04-02,56.85,58.92,55.47,58.71,196900,26.38526
2012-03-01,57.78,58.78,55.99,56.84,341100,25.54485
2012-02-01,53.91,57.73,53.22,57.47,263500,25.56411
2012-01-03,54.25,54.43,51.56,53.62,225400,23.85154
2011-12-01,51.19,53.75,50.81,53.55,235300,23.8204
2011-11-01,49.18,51.36,47.75,51.26,204000,22.55214
2011-10-03,46.37,52.7,44.63,50.99,385100,22.43336
2011-09-01,52.42,53.01,46.2,46.24,406500,20.34356
2011-08-01,53.26,53.72,46.99,52.34,535900,22.77971
2011-07-01,52.75,55.15,51.41,52.67,291100,22.92334
2011-06-01,52.43,52.95,49.53,52.6,263000,22.89287
2011-05-02,50.23,53.04,49.41,52.34,277500,22.53227
2011-04-01,48.9,50.59,47.8,50.17,280000,21.59809
2011-03-01,47.35,48.95,45,48.49,205200,20.87485
2011-02-01,47.81,48.64,45.81,47.56,194200,20.24304
2011-01-03,43.89,47.63,43.09,47.51,202900,20.22175
2010-12-01,43.94,45.72,43.05,43.56,197900,18.54051
2010-11-01,42.38,44.68,41.51,43.54,248800,18.31504
2010-10-01,42.51,44.97,41.22,42.16,234400,17.73455
2010-09-01,39.66,42.95,39.2,42.35,221000,17.81447
2010-08-02,38.06,40.4,37.24,39.31,269500,16.34154
