Date,Open,High,Low,Close,Volume,adj
30/07/2002,81.75,81.900002,81.519997,81.519997,6100,47.53748
31/07/2002,81.949997,82.800003,81.900002,82.529999,29400,48.126451
01/08/2002,82.540001,83.019997,82.540001,83,25000,48.400527
02/08/2002,83.160004,84.099998,82.879997,83.849998,52800,48.896194
05/08/2002,84.040001,84.440002,83.849998,84.220001,61100,49.111957
06/08/2002,83.870003,83.900002,83.220001,83.5,64900,48.692097
07/08/2002,83.599998,84.139999,83.360001,83.699997,40300,48.808723
08/08/2002,83.580002,83.769997,83.360001,83.699997,40900,48.808723
09/08/2002,84,84.879997,84,84.879997,35900,49.496827
12/08/2002,85.300003,86.699997,85.139999,85.400002,32100,49.800062
13/08/2002,85.779999,86.470001,85.370003,86.449997,75400,50.412355
14/08/2002,87.459999,87.900002,86.75,86.779999,130000,50.604792
15/08/2002,86.379997,86.5,85.849998,86.019997,87100,50.161605
16/08/2002,86.440002,86.519997,84.82,85.059998,85000,49.601792
19/08/2002,85.050003,85.339996,84.709999,85.32,47300,49.753409
20/08/2002,85.620003,86.290001,85.599998,86.269997,40800,50.307389
21/08/2002,85.68,86.099998,85.629997,85.809998,40000,50.039146
22/08/2002,85.550003,85.550003,85.059998,85.059998,34400,49.601792
23/08/2002,85.199997,85.949997,85.199997,85.900002,20100,50.091631
26/08/2002,85.699997,86.209999,85.669998,85.980003,23900,50.138283
27/08/2002,85.400002,85.68,85.199997,85.440002,301800,49.823388
28/08/2002,86.040001,86.18,85.839996,85.870003,18100,50.074137
29/08/2002,86.760002,86.860001,86.349998,86.559998,135700,50.4765
30/08/2002,86.75,87.129997,86.449997,87.080002,78100,50.779735
03/09/2002,87.080002,88.040001,87,88.040001,102100,51.560403
04/09/2002,88.029999,88.300003,87.839996,88.019997,66300,51.548688
05/09/2002,88.57,88.650002,87.379997,88.5,648400,51.829801
06/09/2002,87.970001,88.190002,87.199997,87.459999,140000,51.220727
09/09/2002,87.5,87.830002,87.260002,87.330002,83800,51.144594
10/09/2002,87.169998,88,87,87.75,336000,51.390565
11/09/2002,87,87.300003,86.75,87.290001,177700,51.121168
12/09/2002,87.480003,88.139999,87.470001,87.970001,43400,51.519408
13/09/2002,88.330002,88.940002,88.18,88.779999,155100,51.993781
16/09/2002,89.199997,89.220001,88.900002,88.93,73000,52.081629
17/09/2002,88.639999,89.32,88.360001,89.099998,75400,52.181188
18/09/2002,89.160004,89.559998,89.019997,89.120003,196600,52.192904
19/09/2002,89.699997,89.769997,89.260002,89.720001,109900,52.544291
20/09/2002,89.449997,89.519997,89.059998,89.300003,113500,52.29832
23/09/2002,90,90.239998,89.769997,90.099998,163200,52.766836
24/09/2002,90.300003,90.940002,90.209999,90.68,251900,53.106512
25/09/2002,90.099998,90.360001,89.260002,89.580002,127200,52.462301
26/09/2002,89.050003,89.529999,88.610001,89.370003,429000,52.339315
27/09/2002,89.529999,90.040001,89.480003,90.040001,298200,52.731698
30/09/2002,90.660004,90.900002,90.080002,90.400002,297800,52.942532
01/10/2002,89.160004,89.300003,88.800003,88.940002,257500,52.28587
02/10/2002,89.239998,89.480003,88.839996,89.449997,91000,52.585684
03/10/2002,89.300003,89.510002,88.800003,89.230003,29900,52.456355
04/10/2002,88.400002,89.720001,88.400002,89.510002,131000,52.62096
07/10/2002,89.900002,89.959999,89.459999,89.660004,433800,52.709143
08/10/2002,89.5,90.519997,89.360001,89.690002,530900,52.726778
09/10/2002,90.300003,90.379997,89.949997,90.150002,402900,52.997202
10/10/2002,90.169998,90.169998,89.279999,89.440002,97100,52.579809
11/10/2002,89.099998,89.220001,88.059998,88.379997,421800,51.956655
14/10/2002,88.5,88.550003,88.07,88.25,18300,51.880233
15/10/2002,87,87.300003,86.150002,86.160004,297100,50.65157
16/10/2002,86.599998,86.599998,85.889999,86.199997,125200,50.675081
17/10/2002,85.139999,85.559998,85.07,85.150002,233400,50.057812
18/10/2002,85.019997,85.389999,84.279999,85.370003,459100,50.187146
21/10/2002,85.5,85.599998,84.5,84.540001,134900,49.699206
22/10/2002,84.849998,84.849998,84.220001,84.300003,205000,49.558116
23/10/2002,84.75,85.199997,84.18,84.330002,127800,49.575752
24/10/2002,84.160004,85.25,84.080002,85.07,339600,50.01078
25/10/2002,85.349998,85.559998,85.150002,85.379997,146100,50.193021
28/10/2002,85.559998,85.639999,85.199997,85.260002,97800,50.122479
29/10/2002,85.82,86.889999,85.769997,86.370003,125000,50.775024
30/10/2002,86.370003,86.68,86.07,86.339996,31900,50.757383
31/10/2002,86.050003,86.860001,86.019997,86.730003,512700,50.98666
01/11/2002,86.300003,86.93,85.25,85.980003,125100,50.773483
04/11/2002,85.480003,85.75,85.25,85.599998,342500,50.54908
05/11/2002,85.599998,85.599998,85.089996,85.269997,73800,50.354205
06/11/2002,85.050003,86.129997,84.910004,85.610001,118500,50.554986
07/11/2002,87.050003,87.730003,86.849998,87.730003,147900,51.806904
08/11/2002,88.400002,88.650002,87.949997,88.440002,294700,52.226178
11/11/2002,88.550003,88.919998,88.400002,88.919998,70000,52.509628
12/11/2002,89.150002,89.150002,88.370003,88.410004,494300,52.208462
13/11/2002,88.449997,88.690002,87.959999,88.599998,104700,52.320659
14/11/2002,87.650002,87.650002,86.760002,86.760002,118000,51.234093
15/11/2002,86.540001,87.230003,86.260002,87.110001,110700,51.440776
18/11/2002,87.019997,87.629997,86.959999,87.5,32200,51.671081
19/11/2002,87.949997,88.230003,87.510002,87.82,51800,51.860049
20/11/2002,88.199997,88.220001,86.809998,86.959999,307400,51.352196
21/11/2002,86.5,86.5,85.860001,86.120003,323200,50.856156
22/11/2002,86.330002,86.389999,85.879997,86.040001,184800,50.808913
25/11/2002,86,86.379997,85.800003,85.879997,288200,50.714426
26/11/2002,86.199997,87.019997,86.150002,86.959999,377800,51.352196
27/11/2002,86.25,86.330002,84.959999,85,325600,50.194764
29/11/2002,85.160004,85.629997,85.139999,85.550003,31700,50.519556
02/12/2002,84.360001,85.400002,84.150002,85.239998,284900,50.566417
03/12/2002,85.699997,85.699997,85.120003,85.360001,113800,50.637605
04/12/2002,85.900002,86,85.550003,85.800003,129000,50.898625
05/12/2002,85.279999,86.279999,85.260002,86.019997,206400,51.029131
06/12/2002,87,87.089996,85.760002,86.169998,440500,51.118115
09/12/2002,86.199997,86.849998,86.169998,86.650002,400300,51.402865
10/12/2002,86.610001,86.93,86.5,86.879997,151600,51.539304
11/12/2002,87.150002,87.650002,86.959999,87.459999,163800,51.883375
12/12/2002,87.059998,87.599998,87.059998,87.379997,135800,51.835916
13/12/2002,87.139999,87.160004,86.529999,86.529999,425800,51.331676
16/12/2002,86.900002,86.900002,85.839996,85.879997,115700,50.94608
17/12/2002,86.300003,86.349998,85.68,85.879997,290600,50.94608
18/12/2002,86.480003,86.690002,86.25,86.550003,191000,51.343543
19/12/2002,86.800003,87.489998,86.650002,87.32,134400,51.800324
20/12/2002,87.230003,87.559998,87.150002,87.379997,41900,51.835916
23/12/2002,87.360001,87.400002,86.25,87.400002,74200,51.847783
24/12/2002,88,88.080002,87.839996,87.889999,46600,52.138461
26/12/2002,87.900002,88.059998,87.730003,88.059998,13500,52.239308
27/12/2002,88.550003,89.029999,88.279999,89.029999,140200,52.814736
30/12/2002,88.900002,89.239998,88.629997,89.239998,274900,52.939313
31/12/2002,88.949997,89.330002,88.32,88.57,109400,52.805765
02/01/2003,87.699997,87.900002,86.209999,86.279999,192100,51.440458
03/01/2003,86.150002,86.540001,85.830002,86.480003,311200,51.559702
06/01/2003,86.169998,86.290001,85.809998,86.25,35600,51.422573
07/01/2003,86.190002,86.75,86.169998,86.559998,69800,51.607395
08/01/2003,86.879997,87.139999,86.779999,86.989998,160100,51.863762
09/01/2003,86.169998,86.169998,85.019997,85.32,237500,50.868103
10/01/2003,85.919998,85.919998,85.120003,85.540001,145200,50.999269
13/01/2003,85.540001,85.870003,85.400002,85.68,53300,51.082737
14/01/2003,86,86.279999,85.959999,85.980003,98900,51.2616
15/01/2003,86.279999,86.699997,86.199997,86.400002,129600,51.512004
16/01/2003,86.379997,86.599998,85.620003,86.519997,57900,51.583546
17/01/2003,87.099998,87.239998,86.93,86.949997,97700,51.839914
21/01/2003,86.879997,87.449997,86.800003,87.449997,107500,52.138016
22/01/2003,87.68,87.900002,87.519997,87.879997,107100,52.394383
23/01/2003,87.32,87.699997,87.300003,87.449997,110700,52.138016
24/01/2003,87.739998,88.440002,87.739998,87.970001,285300,52.448044
27/01/2003,87.900002,88.040001,87.5,87.650002,150500,52.257259
28/01/2003,87.650002,87.779999,87.099998,87.650002,454700,52.257259
29/01/2003,87.830002,87.879997,86.980003,87.169998,221400,51.971079
30/01/2003,87.199997,87.900002,87.099998,87.82,108600,52.358613
31/01/2003,87.900002,88.209999,87.540001,88.059998,182300,52.5017
03/02/2003,87.669998,87.910004,87.309998,87.879997,55200,52.578281
04/02/2003,88.370003,88.400002,88.110001,88.269997,56900,52.811616
05/02/2003,88.230003,88.699997,87.43,87.510002,223300,52.356914
06/02/2003,87.839996,88.260002,87.790001,88.220001,120900,52.781704
07/02/2003,87.769997,88.519997,87.629997,88.419998,247200,52.901362
10/02/2003,88.120003,88.400002,87.690002,87.800003,76600,52.530421
11/02/2003,87.599998,87.910004,87.43,87.779999,259100,52.518452
12/02/2003,87.800003,88.129997,87.669998,88.089996,121300,52.703923
13/02/2003,88.269997,89.18,88.169998,88.57,440200,52.991107
14/02/2003,88.300003,88.370003,87.610001,87.809998,829700,52.536401
18/02/2003,87.559998,87.980003,87.339996,87.919998,213200,52.602213
19/02/2003,88.389999,88.699997,88.25,88.519997,62100,52.96119
20/02/2003,88.339996,88.900002,88.339996,88.82,486700,53.140681
21/02/2003,88.559998,88.720001,88.209999,88.300003,250400,52.829569
24/02/2003,88.879997,88.900002,88.620003,88.720001,168200,53.080852
25/02/2003,89.400002,89.650002,89,89.129997,358500,53.326152
26/02/2003,89.379997,89.75,89.150002,89.75,334000,53.697097
27/02/2003,89.459999,89.989998,89.309998,89.900002,695700,53.786842
28/02/2003,89.68,90.540001,89.580002,90.470001,213100,54.127871
03/03/2003,90,90.449997,89.910004,90.239998,204100,54.193926
