"Index","open","high","low","close","volume","adj"
2003-04-14,100.299957,100.999984,100.299957,100.999984,93600,9.174575
2003-04-15,101.61999,102.500012,101.61999,102.200043,421200,9.283585
2003-04-16,103.300023,103.79997,103.300023,103.380026,9000,9.390772
2003-04-17,103.950002,104.149979,103.769998,104.120007,17100,9.45799
2003-04-21,104.239981,104.249971,104.000041,104.079958,72900,9.454352
2003-04-22,104.069967,104.429967,103.750016,104.429967,19800,9.486146
2003-04-23,104.499988,104.920017,104.149979,104.920017,31500,9.530661
2003-04-24,104.100034,104.100034,102.599997,102.850021,90000,9.342628
2003-04-25,101.410023,101.410023,100.999984,101.150007,102600,9.188203
2003-04-28,101.410023,102.819963,101.400032,102.819963,91800,9.339897
2003-04-29,104.409994,105.800039,104.409994,105.75,76500,9.606054
2003-04-30,105.499984,105.589977,105.180033,105.45003,228600,9.578806
2003-05-01,105.149966,105.569996,105.000029,105.039991,234900,9.541559
2003-05-02,105.38001,106.650003,105.38001,106.650003,67500,9.687808
2003-05-05,107.049957,107.819996,107.049957,107.800023,47700,9.792273
2003-05-06,107.800023,108.479974,107.70003,108.350009,109800,9.842232
2003-05-07,107.900007,108.170013,107.810014,108.150032,313200,9.824067
2003-05-08,107.499959,107.559989,107.099997,107.199989,417600,9.737768
2003-05-09,107.350021,108.540004,107.350021,108.459992,63000,9.852223
2003-05-12,108.950043,109.970012,108.900003,109.970012,752400,9.989389
2003-05-13,109.58004,109.58004,109.050027,109.349997,276300,9.933069
2003-05-14,109.349997,109.349997,108.590043,108.800011,206100,9.883109
2003-05-15,109.019969,109.019969,108.749971,109.019969,337500,9.90309
2003-05-16,109.299957,109.500029,108.800011,109.09998,256500,9.910358
2003-05-19,108.399962,108.399962,106.100009,106.499971,128700,9.67418
2003-05-20,106.749988,107.160027,106.450018,107.029976,53100,9.722324
2003-05-21,106.83999,107.150036,106.280013,107.119978,45900,9.730499
2003-05-22,107.150036,108.090002,107.150036,108.090002,84600,9.818614
2003-05-23,108.849964,109.45998,108.849964,109.199973,74700,9.919441
2003-05-27,109.45998,113.180037,109.45998,113.110016,864000,10.274619
2003-05-28,113.110016,113.760003,113.110016,113.59998,396000,10.319126
2003-05-29,113.499988,113.979961,113.300011,113.750012,306900,10.332755
2003-05-30,114.000029,115.070037,113.769994,115.070037,368100,10.452662
2003-06-02,115.399979,117.199977,115.399979,115.90002,587700,10.528056
2003-06-03,116.000012,116.000012,114.069963,115.019998,244800,10.448117
2003-06-04,115.000016,116.510044,115.000016,116.499959,241200,10.582553
2003-06-05,116.919989,116.919989,115.859971,116.620019,509400,10.593458
2003-06-06,117.250016,118.899991,117.240034,117.710009,608400,10.69247
2003-06-09,117.860041,117.860041,116.33004,116.70003,208800,10.600726
2003-06-10,116.739993,117.900003,116.739993,117.900003,233100,10.709729
2003-06-11,117.849964,118.08999,117,117.999988,294300,10.718811
2003-06-12,118.199973,118.89,118.109971,118.89,402300,10.799658
2003-06-13,118.610012,118.95003,118.52001,118.850038,694800,10.796028
2003-06-16,119.199961,120.140013,119.050023,120.130022,163800,10.912298
2003-06-17,121.359959,122.699973,121.359959,122.59998,352800,11.136663
2003-06-18,122.270039,122.840006,121.879981,122.149979,171900,11.095786
2003-06-19,123.149966,123.350038,122.000041,122.149979,225900,11.095786
2003-06-20,122.499988,122.699973,121.79997,122.149979,300600,11.095786
2003-06-23,121.750016,121.750016,119.120044,119.150007,332100,10.823276
2003-06-24,118.649966,118.649966,117.600034,118.269994,188100,10.743338
2003-06-25,118.569963,119.97999,118.569963,119.25,1045800,10.832359
2003-06-26,119.819967,120.599997,119.61,120.539967,210600,10.949536
2003-06-27,120.699989,120.750029,119.68002,119.97999,373500,10.898669
2003-06-30,120.320008,120.320008,119.700002,119.899979,279900,10.891401
2003-07-01,120.34998,121.300023,119.999971,121.20003,679500,11.009495
2003-07-02,122.550027,124.139972,122.550027,124.04997,1129500,11.268376
2003-07-03,124.399979,124.460009,124.149962,124.399979,110700,11.30017
2003-07-07,125.70003,127.479961,125.70003,127.479961,569700,11.579947
2003-07-08,127.719987,128.069996,127.250012,127.839961,347400,11.612649
2003-07-09,127.749959,127.749959,126.999988,127.539991,472500,11.5854
2003-07-10,126.839973,126.839973,124.90002,125.299982,1603800,11.381924
2003-07-11,125.299982,126.350009,125.299982,126.350009,212400,11.477305
2003-07-14,127.749959,129.099964,127.749959,128.570037,683100,11.678967
2003-07-15,129.200043,129.200043,126.950043,126.950043,2222100,11.531811
2003-07-16,126.700018,127.400036,126.330028,127.050027,828000,11.540893
2003-07-17,126.250016,126.250016,123.730019,123.730019,367200,11.239312
2003-07-18,123.949977,125.379993,123.949977,125.379993,205200,11.389192
2003-07-21,124.890029,124.890029,123.560014,123.720028,2148300,11.238405
2003-07-22,124.039979,125.360012,123.900032,125.199989,1022400,11.372841
2003-07-23,124.800027,124.800027,123.659998,124.399979,904500,11.30017
2003-07-24,125.250029,126.090002,125.000012,125.000012,749700,11.354675
2003-07-25,125.919989,127.050027,125.749984,127.050027,212400,11.540893
