"Index","open","high","low","close","volume","adj"
2000-01-03,16.5,16.5625,16.125,16.1875,490500,12.972687
2000-01-04,15.875,15.9375,15.625,15.75,1192000,12.622074
2000-01-05,15.1875,15.5,15.125,15.3125,830800,12.27146
2000-01-06,14.8125,14.8125,14.625,14.6875,1051500,11.770584
2000-01-07,14.8125,15,14.8125,15,490600,12.021022
2000-01-10,15.1875,15.25,15.125,15.25,820900,12.221373
2000-01-11,15.25,15.3125,15.0625,15.125,527800,12.121198
2000-01-12,15.1875,15.1875,15,15,488100,12.021022
2000-01-13,15.1875,15.3125,15.1875,15.25,392100,12.221373
2000-01-14,15.3125,15.375,15.25,15.375,521600,12.321548
2000-01-18,15.625,15.625,15.1875,15.25,633800,12.221373
2000-01-19,15.125,15.1875,14.9375,15.125,1528300,12.121198
2000-01-20,15.0625,15.125,14.875,15,393400,12.021022
2000-01-21,15.125,15.1875,14.9375,14.9375,663400,11.970935
2000-01-24,15.1875,15.25,14.75,14.875,618300,11.920847
2000-01-25,15.0625,15.0625,14.8125,15.0625,370700,12.07111
2000-01-26,15.1875,15.3125,15.125,15.25,319300,12.221373
2000-01-27,15.4375,15.5625,15.125,15.125,420400,12.121198
2000-01-28,15.5625,15.5625,14.9375,15,310000,12.021022
2000-01-31,15.25,15.375,15.1875,15.375,446000,12.321548
2000-02-01,15.3125,15.375,15.1875,15.375,721800,12.321548
2000-02-02,15.5,15.5,15.3125,15.5,374600,12.421723
2000-02-03,15.5625,15.75,15.5,15.75,716000,12.622074
2000-02-04,15.9375,16.0625,15.875,16,490300,12.822424
2000-02-07,15.875,15.875,15.6875,15.75,339400,12.622074
2000-02-08,15.625,15.6875,15.4375,15.5,381600,12.421723
2000-02-09,15.5625,15.625,15.4375,15.5,516600,12.421723
2000-02-10,15.625,15.6875,15.4375,15.5,298500,12.421723
2000-02-11,15.4375,15.5625,15.3125,15.375,450100,12.321548
2000-02-14,15.5,15.625,15.125,15.625,362900,12.521898
2000-02-15,15.25,15.25,15,15.125,475500,12.121198
2000-02-16,15.125,15.1875,15,15.0625,579500,12.07111
2000-02-17,15.3125,15.375,15.125,15.1875,276700,12.171285
2000-02-18,15.0625,15.25,14.875,14.9375,534600,11.970935
2000-02-22,14.5625,14.6875,14.4375,14.6875,874600,11.770584
2000-02-23,14.625,14.6875,14.5,14.5625,698400,11.670409
2000-02-24,14.75,14.875,14.625,14.625,751700,11.720497
2000-02-25,14.9375,15,14.8125,14.8125,637700,11.87076
2000-02-28,15.1875,15.1875,14.9375,15.0625,799300,12.07111
2000-02-29,15.0625,15.1875,15,15.1875,922600,12.171285
2000-03-01,15.3125,15.5,15.25,15.5,352400,12.421723
2000-03-02,15.5,15.5,15.1875,15.1875,490800,12.171285
2000-03-03,15.1875,15.375,15.1875,15.3125,292900,12.27146
2000-03-06,14.875,14.9375,14.6875,14.75,794100,11.820672
2000-03-07,15.125,15.1875,14.875,14.9375,885100,11.970935
2000-03-08,15.0625,15.1875,15,15.1875,247700,12.171285
2000-03-09,15,15.0625,14.875,15.0625,233700,12.07111
2000-03-10,14.875,15,14.875,14.9375,321700,11.970935
2000-03-13,14.375,14.4375,14.1875,14.1875,979900,11.369884
2000-03-14,14.5,14.5625,14.4375,14.4375,615000,11.570234
2000-03-15,14.375,14.625,14.375,14.625,749500,11.720497
2000-03-16,15,15.1875,14.9375,15.1875,788600,12.171285
2000-03-17,15.125,15.125,14.9375,15,742500,12.021022
2000-03-20,15,15.125,14.9375,15.125,627000,12.121198
2000-03-21,14.9375,15.1875,14.9375,15.0625,524700,12.07111
2000-03-22,14.8125,15,14.8125,14.9375,1095300,11.970935
2000-03-23,14.8125,15,14.8125,14.9375,2634500,11.970935
2000-03-24,15.0625,15.0625,14.875,14.9375,789900,11.970935
2000-03-27,15.1875,15.1875,15,15.125,608900,12.121198
2000-03-28,15.5,15.6875,15.5,15.5,448900,12.421723
2000-03-29,16,16.125,15.9375,16,457400,12.822424
2000-03-30,15.875,16,15.75,15.875,406700,12.722249
2000-03-31,16.3125,16.5,16.25,16.5,355500,13.223125
2000-04-03,16.1875,16.3125,16.1875,16.3125,593800,13.072862
2000-04-04,16.125,16.125,15.6875,15.875,604600,12.722249
2000-04-05,15.8125,16,15.8125,15.9375,203400,12.772336
2000-04-06,15.8125,15.875,15.625,15.875,203500,12.722249
2000-04-07,15.875,15.9375,15.75,15.9375,157400,12.772336
2000-04-10,15.9375,15.9375,15.75,15.875,345700,12.722249
2000-04-11,15.8125,15.8125,15.625,15.75,230700,12.622074
2000-04-12,15.9375,16,15.75,15.875,588500,12.722249
2000-04-13,15.625,15.6875,15.5,15.625,358200,12.521898
2000-04-14,15.4375,15.46875,15.125,15.125,603900,12.121198
2000-04-17,14.6875,15.125,14.6875,15.125,726300,12.121198
2000-04-18,15.125,15.25,15.0625,15.1875,286100,12.171285
2000-04-19,15.25,15.3125,15.0625,15.0625,287800,12.07111
2000-04-20,15.1875,15.375,15.1875,15.3125,516800,12.27146
2000-04-24,15.4375,15.4375,15.1875,15.25,281600,12.221373
2000-04-25,15.5,15.6875,15.4375,15.6875,257900,12.571986
2000-04-26,15.5625,15.5625,15.3125,15.375,335200,12.321548
2000-04-27,15.125,15.3125,15.0625,15.1875,285400,12.171285
2000-04-28,15.3125,15.3125,15.125,15.25,259000,12.221373
2000-05-01,15.375,15.5625,15.375,15.5625,218300,12.471811
2000-05-02,15.5,15.5625,15.375,15.375,209800,12.321548
2000-05-03,15.375,15.4375,15.125,15.1875,132900,12.171285
2000-05-04,15.25,15.4375,15.25,15.375,221400,12.321548
2000-05-05,15.3125,15.5,15.25,15.375,156400,12.321548
2000-05-08,15.25,15.3125,15.25,15.25,139300,12.221373
2000-05-09,15.125,15.1875,15,15.0625,287800,12.07111
2000-05-10,15,15.125,14.9375,14.9375,317100,11.970935
2000-05-11,14.6875,14.875,14.6875,14.76562,292600,11.83319
2000-05-12,14.875,15.125,14.8125,15,304400,12.021022
2000-05-15,14.9375,15,14.75,14.9375,227500,11.970935
2000-05-16,15,15.125,14.9375,15,539300,12.021022
2000-05-17,14.6875,14.75,14.625,14.625,199600,11.720497
2000-05-18,14.75,14.8125,14.625,14.6875,327600,11.770584
2000-05-19,14.5625,14.625,14.4375,14.5,351500,11.620322
2000-05-22,14.25,14.25,13.8125,14.125,3037700,11.319796
