Date,CAD,EUR,JPY,KRW,MXN,NOK,PLN,CHF,GBP,USD,,
17-Jun-2016,0.550456,0.79777,0.00677055,0.000605826,0.0376008,0.0845905,0.179863,0.736419,1.01058,0.708877,1.425606981,104.7000613
16-Jun-2016,0.544922,0.794061,0.00678733,0.000604126,0.037408,0.0846566,0.180048,0.736026,1.00405,0.710633,,
15-Jun-2016,0.550666,0.798599,0.00670245,0.000606507,0.0376913,0.0854898,0.180715,0.737763,1.00945,0.71113,,
14-Jun-2016,0.554089,0.798292,0.00670918,0.000606389,0.0374668,0.0852378,0.180121,0.736356,1.00731,0.711173,,
13-Jun-2016,0.555206,0.800276,0.00668883,0.000610627,0.0377947,0.0858065,0.182374,0.735217,1.00553,0.71022,,
10-Jun-2016,0.556314,0.800912,0.00661674,0.000613013,0.0382889,0.0863755,0.183817,0.735362,1.02169,0.708521,,
9-Jun-2016,0.555519,0.802212,0.00663444,0.000611527,0.0387011,0.0867364,0.185498,0.735703,1.02308,0.707231,,
8-Jun-2016,0.556346,0.803607,0.00659767,0.000607188,0.0389155,0.0872965,0.185133,0.733722,1.02898,0.706281,,
7-Jun-2016,0.552696,0.802125,0.00655881,0.000595738,0.0381939,0.0869747,0.184564,0.731722,1.03114,0.706843,,
6-Jun-2016,0.550842,0.803694,0.00662206,,0.038096,0.0864795,0.183452,0.726321,1.01919,0.708163,,
3-Jun-2016,0.550779,0.795446,0.00654505,0.000599486,0.0382831,0.0856677,0.181076,0.719045,1.02751,0.713149,,
2-Jun-2016,0.544165,0.796326,0.00652699,0.000597021,0.0382472,0.0852958,0.181555,0.721216,1.02715,0.711768,,
1-Jun-2016,0.544544,0.796552,0.00644017,0.000598792,0.0384709,0.0855746,0.181159,0.720063,1.0298,0.712862,,
31-May-2016,0.544137,0.795079,0.0064166,0.000598707,0.0387154,0.0853094,0.181061,0.719875,1.042,0.71282,,
27-May-2016,0.547047,0.794408,0.00647247,0.000602307,0.0385486,0.0855863,0.180571,0.718147,1.04238,0.711325,,
26-May-2016,0.547908,0.794312,0.00648349,0.000599797,0.0385345,0.0858995,,0.717698,1.04517,0.711239,,
25-May-2016,0.544146,0.793915,0.00646652,0.000599266,0.0386022,0.0854174,0.17949,0.718321,1.04436,0.712287,,
24-May-2016,0.542388,0.794609,0.00651084,0.00060139,0.0385234,0.0851164,0.17882,0.717532,1.03894,0.711505,,
23-May-2016,,0.798104,0.00648124,0.000598822,0.038583,0.0852151,0.180103,0.718538,1.02967,0.71164,,
20-May-2016,0.541507,0.798034,0.00646658,0.00059735,0.0386955,0.0854833,0.180732,0.717639,1.03704,0.711324,,
19-May-2016,0.542107,0.796137,0.00645977,0.000602106,0.0383375,0.0850633,0.181565,0.718645,1.04066,0.711027,,
18-May-2016,0.549308,0.800974,0.00648298,0.000605255,0.0386451,0.0863263,0.182065,0.721987,1.02843,0.710146,,
17-May-2016,0.55041,0.802676,0.00650526,0.000601733,0.0387084,,0.18417,0.724712,1.02657,0.709203,,
16-May-2016,0.550535,0.803408,0.0065209,0.000606699,0.039026,,0.183683,0.726548,1.01817,0.709474,,
13-May-2016,0.547707,0.80427,0.00651409,0.000608825,0.0390353,0.0867812,0.182781,0.728849,1.02143,0.708733,,
12-May-2016,0.550422,0.806037,0.00653011,0.000605884,0.0393371,0.0873087,0.182354,0.729095,1.02225,0.707733,,
11-May-2016,0.551207,0.80722,0.00650123,0.000602665,0.0394059,0.0863567,0.182095,0.726267,1.02054,0.707529,,
10-May-2016,0.546665,0.805831,0.00653225,0.000608245,0.0393121,0.0861671,0.182334,0.727408,1.02176,0.708423,,
9-May-2016,0.544203,0.805784,0.00657497,0.000613037,0.0390613,0.0863374,0.182581,0.729384,1.02139,0.707138,,
6-May-2016,0.546028,0.806201,0.00657156,,0.0393698,0.0862129,0.182155,0.728319,1.02336,0.705523,,
5-May-2016,0.549213,0.807482,,,,,0.183471,0.732037,1.02081,0.705903,,
4-May-2016,0.546618,0.810255,,0.00061935,,0.0867415,0.183881,0.736292,1.01977,0.704263,,
3-May-2016,0.55239,0.810712,,0.000614272,0.0399901,0.087089,,0.739591,1.02816,0.700762,,
2-May-2016,0.559899,0.807453,0.00660302,0.00061731,0.0407804,0.0874528,0.183941,0.732903,,0.702561,,
29-Apr-2016,0.562238,0.804541,0.00631423,0.000616795,0.0410761,0.0873078,0.182134,0.733193,1.03109,0.705552,,
28-Apr-2016,0.564002,0.80356,0.00633152,0.000617405,0.0411029,0.0869092,0.182836,0.731552,1.02953,0.707484,,
27-Apr-2016,0.561595,0.802033,0.00638222,0.000617183,0.0407818,0.087165,0.182913,0.729565,1.03655,0.709575,,
26-Apr-2016,0.56301,0.801581,0.00639976,0.00061771,0.0407452,0.0868659,0.182402,0.728316,1.03438,0.710181,,
25-Apr-2016,0.561129,0.801447,0.00639044,0.000623532,0.0404576,0.086423,0.182617,0.729606,1.02842,0.711512,,
