"Index","open","high","low","close","volume","adj"
2000-01-03,192.375,192.375,181.5,189.5,36345200,85.346727
2000-01-04,184,187,175.875,176.5,33786600,79.491807
2000-01-05,175,179.25,168.5,172,42496600,77.465103
2000-01-06,173.75,176,159.5,160.1875,37134800,72.145007
2000-01-07,165.875,180,165,180,28138200,81.068131
2000-01-10,182,187.875,179.875,185,29675600,83.320024
2000-01-11,183.5,185.75,174,176,32546600,79.266617
2000-01-12,178,178.484375,172,172.125,29050000,77.521401
2000-01-13,177,183,174.156235,182.5,25165200,82.194078
2000-01-14,186,187.25,184,186.75,21898600,84.108186
2000-01-18,184.125,188.875,182.875,187.75,16752400,84.558565
2000-01-19,186.984375,192,184.859375,192,19006000,86.472673
2000-01-20,191,193.75,188.015625,190.125,25958000,85.628214
2000-01-21,193,193.125,190.125,192.5,18698200,86.697863
2000-01-24,194.875,195.25,181.9375,183.25,28340400,82.531861
2000-01-25,183.75,188.234375,178.8125,186,33276200,83.770402
2000-01-26,186.5,186.625,178,178.5,23095600,80.392564
2000-01-27,183.5,185,175.25,181.125,30739200,81.574807
2000-01-28,180,180.9375,169.5,172,35313800,77.465103
2000-01-31,171.75,180,167,179.375,36014600,80.786645
2000-02-01,179.0625,185,176.875,184.1875,26417600,82.954091
2000-02-02,184.5,189.4375,184.1875,185.75,26169200,83.657808
2000-02-03,188.625,193.25,184.5625,193,30579800,86.923052
2000-02-04,194,196.484375,192.4375,194.3125,26640000,87.514174
2000-02-07,194.5,197.25,192.5,197,17761000,88.724566
2000-02-08,198.75,205.75,198.75,205.25,21999400,92.440189
2000-02-09,204.125,204.390625,197.5,198,27258200,89.174944
2000-02-10,199.625,204.5,197.109375,204.5,26341600,92.102405
2000-02-11,204.125,204.125,196,199.75,24876000,89.963107
2000-02-14,199.984375,200,195.5,199.5,22814600,89.850512
2000-02-15,197.875,201.25,191.75,200.9375,30572800,90.497931
2000-02-16,199.8125,203.375,198.625,200,25310600,90.075701
2000-02-17,202.375,206.5,199.25,204.25,30080200,91.98981
2000-02-18,205.25,206,196.875,196.875,25271200,88.668269
2000-02-22,198,199.875,192.5,197.5,37226200,88.949755
2000-02-23,199.359375,210,198.3125,208.5,32170800,93.903919
2000-02-24,209.75,213.609375,204,213,48868200,95.930622
2000-02-25,212.375,215,207.75,208.125,32617600,93.735027
2000-02-28,206.5,211.375,201,208,38216200,93.67873
2000-02-29,211.5,214.1875,209.875,213.5,23978600,96.155811
2000-03-01,214.5,217.125,213,215.25,24468400,96.943974
2000-03-02,216.125,216.375,209.5,210.265625,32739200,94.699118
2000-03-03,216,222.25,214,222.125,32017200,100.040326
