Symbol;Name;LastSale;MarketCap;Sector;Industry;Exchange;BookValuePerShare
AAU;Almaden Minerals, Ltd.;1.29;83209284.09;Basic Industries;Precious Metals;AMEX;0.68
ACU;Acme United Corporation.;16.5;53003808;Capital Goods;Industrial Machinery/Components;AMEX;10.95
ACY;AeroCentury Corp.;16.4;25309414.8;Technology;Diversified Commercial Services;AMEX;30.13
ADGE;American DG Energy Inc.;2.32;115577574.4;Energy;Electric Utilities: Central;AMEX;0.19
ADK;Adcare Health Systems Inc;4.05;70897048.2;Health Care;Hospital/Nursing Management;AMEX;0.7
AE;Adams Resources & Energy, Inc.;63.01;265750724;Energy;Oil Refining/Marketing;AMEX;37.73
AIRI;Air Industries Group;10.17;60036001.65;Capital Goods;Military/Government/Technical;AMEX;3.59
AKG;Asanko Gold Inc.;1.92;330656173.4;Basic Industries;Mining & Quarrying of Nonmetallic Minerals (No Fuels);AMEX;2.26
ALN;American Lorain Corporation;1.16;40155388.24;Consumer Non-Durables;Packaged Foods;AMEX;5.53
ALTV;Alteva (D/B/A);7.03;42801079.41;Public Utilities;Telecommunications Equipment;AMEX;2.11
AMCO;Armco Metals Holdings, Inc.;0.2031;10711425.15;Consumer Durables;Steel/Iron Ore;AMEX;1.19
AMPE;Ampio Pharmaceuticals, Inc.;7.38;383141349.4;Health Care;Major Pharmaceuticals;AMEX;1.68
AMS;American Shared Hospital Services;2.5;11520925;Health Care;Medical Specialities;AMEX;4.24
AMZG;American Eagle Energy Corporation.;6.11;185839340.4;Basic Industries;Precious Metals;AMEX;4.51
ANV;Allied Nevada Gold Corp.;2.76;287683775.5;Basic Industries;Precious Metals;AMEX;7.5
API;Advanced Photonix, Inc.;0.5301;16540823.21;Technology;Semiconductors;AMEX;0.37
APT;Alpha Pro Tech, Ltd.;2.29;42683097.03;Health Care;Industrial Specialties;AMEX;1.91
ASM;Avino Silver;1.53;49329892.8;Basic Industries;Precious Metals;AMEX;1.13
ATL;Atlatsa Resources Corporation;0.3902;216283362.2;Basic Industries;Precious Metals;AMEX;0.47
AUMN;Golden Minerals Company;0.53;23071341.49;Basic Industries;Precious Metals;AMEX;0.94
AVL;Avalon Rare Metals, Inc.;0.5;56401920.5;Basic Industries;Precious Metals;AMEX;0.91
AWX;Avalon Holdings Corporation;4.05;15403490.55;Public Utilities;Environmental Services;AMEX;10.45
AXU;Alexco Resource Corp;1.06;66328331.88;Basic Industries;Precious Metals;AMEX;1.49
AXX;Alderon Iron Ore Corp.;1.36;176996067.1;Basic Industries;Precious Metals;AMEX;1.38
AZC;Augusta Resource Corporation;2.74;398551130.6;Basic Industries;Precious Metals;AMEX;1.4
BAA;BANRO CORPORATION;0.41;103361275.5;Basic Industries;Precious Metals;AMEX;1.94
BDL;"Flanigan&#39;s Enterprises, Inc.";14.26;26504306.22;Consumer Services;Restaurants;AMEX;11.91
BDR;Blonder Tongue Laboratories, Inc.;0.93;5781225.96;Technology;Radio And Television Broadcasting And Communications Equipment;AMEX;2.24
BGI;Birks Group Inc.;1.2;21408681.6;NA;NA;AMEX;0.74
BHB;Bar Harbor Bankshares, Inc.;24.95;147615053.3;Finance;Major Banks;AMEX;21.93
BKJ;Bancorp of New Jersey, Inc;13.25;70801163;Finance;Major Banks;AMEX;10.63
BRG;Bluerock Residential Growth REIT, Inc.;13.39;74403315.87;Consumer Services;Real Estate Investment Trusts;AMEX;10.08
BRN;Barnwell Industries, Inc.;3.16;26155825.6;Energy;Oil & Gas Production;AMEX;2.27
BTG;B2Gold Corp;2.4;1622347690;Basic Industries;Precious Metals;AMEX;2.44
BTI;British American Tobacco p.l.c.;119.86;1.12E+11;Consumer Non-Durables;Farming/Seeds/Milling;AMEX;11.76
BTN;Ballantyne Strong, Inc;4.22;59668529.64;Miscellaneous;Industrial Machinery/Components;AMEX;4.63
BTX;BioTime, Inc.;2.79;201296627.9;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.27
BVX;Bovie Medical Corporation;4.59;81822882.24;Health Care;Medical/Dental Instruments;AMEX;0.53
BXE;Bellatrix Exploration Ltd;8.71;1506730366;Energy;Oil & Gas Production;AMEX;4.99
BZC;Breeze-Eastern Corporation;9.9;96412605.3;Capital Goods;Military/Government/Technical;AMEX;4.87
CAK;CAMAC Energy Inc.;0.65;818898789.2;Energy;Oil & Gas Production;AMEX;0.26
CANF;Can-Fite Biopharma Ltd;3.96;31091397.48;Health Care;Major Pharmaceuticals;AMEX;0.48
CAW;CCA Industries, Inc.;3.18;22281255.12;Consumer Non-Durables;Package Goods/Cosmetics;AMEX;2.25
CCF;Chase Corporation;29.4;267597506.4;Consumer Durables;Building Products;AMEX;13.74
CEP;Constellation Energy Partners, LLC;2.41;69486158.71;Energy;Oil & Gas Production;AMEX;3.22
CET;Central Securities Corporation;22.78;549324277.9;NA;NA;AMEX;26.78
CHGS;China GengSheng Minerals, Inc.;0.175;4690532.7;Consumer Durables;Miscellaneous manufacturing industries;AMEX;0.85
CIX;CompX International Inc.;10.7;132649044.9;Capital Goods;Industrial Machinery/Components;AMEX;8.57
CKX;CKX Lands, Inc.;15.4;29914423;Energy;Oil & Gas Production;AMEX;6.68
CMT;Core Molding Technologies Inc;12.15;92297001.15;Consumer Non-Durables;Plastic Products;AMEX;9.35
CNR;China Metro-Rural Holdings Limited;0.899;66115860.02;Finance;Real Estate;AMEX;2.06
COVR;Cover-All Technologies Inc.;1.3;34630020.1;Technology;Computer Software: Prepackaged Software;AMEX;0.43
CPHI;China Pharma Holdings, Inc.;0.4;17431822.8;Health Care;Major Pharmaceuticals;AMEX;2.97
CQP;Cheniere Energy Partners, LP;34;11485064442;Public Utilities;Oil/Gas Transmission;AMEX;4.48
CRV;Coast Distribution System, Inc. (The);3.39;18019897.56;Capital Goods;Automotive Aftermarket;AMEX;5.5
CRVP;Crystal Rock Holdings, Inc.;0.85;18156349.35;Consumer Non-Durables;Food Distributors;AMEX;0.17
CTO;Consolidated-Tomoka Land Co.;45.86;269714537.7;Finance;Real Estate;AMEX;20.71
CTP;CTPartners Executive Search Inc.;9.43;67695471.05;Technology;Diversified Commercial Services;AMEX;3
CUO;Continental Materials Corporation;17.16;28316865.72;Capital Goods;Building Materials;AMEX;31.04
CUR;Neuralstem, Inc.;4.34;376549054.7;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.31
CVM;Cel-Sci Corporation;1.1;72567863.5;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.13
CVR;Chicago Rivet & Machine Co.;33.85;32703568.2;Technology;Industrial Machinery/Components;AMEX;25.75
CVU;CPI Aerostructures, Inc.;12.55;106182851.8;Capital Goods;Military/Government/Technical;AMEX;10.77
DEJ;Dejour Energy Inc.;0.2214;36373833.45;Energy;Oil & Gas Production;AMEX;0.05
