date,cpn,bal,eur1m
01/01/2003,1.11,30378,2.87
02/01/2003,1.06,30607,2.81
03/01/2003,1.03,30521,2.53
04/01/2003,0.99,31280,2.51
05/01/2003,0.99,32067,2.53
06/01/2003,0.89,32187,2.27
07/01/2003,0.86,32151,2.15
08/01/2003,0.85,32547,2.13
09/01/2003,0.84,32947,2.15
10/01/2003,0.83,33016,2.12
11/01/2003,0.84,34069,2.16
12/01/2003,0.87,33977,2.16
01/01/2004,0.86,34393,2.12
02/01/2004,0.86,34226,2.09
03/01/2004,0.86,33810,2.05
04/01/2004,0.84,35106,1.96
05/01/2004,0.84,35133,2.07
06/01/2004,0.89,40573,2.09
07/01/2004,0.91,40646,2.12
08/01/2004,0.92,39653,2.12
09/01/2004,0.92,41853,2.12
10/01/2004,0.91,41595,2.15
11/01/2004,0.91,41445,2.15
12/01/2004,0.95,41741,2.17
01/01/2005,0.97,41418,2.16
02/01/2005,0.97,41597,2.14
03/01/2005,0.97,41826,2.14
04/01/2005,0.96,43491,2.15
05/01/2005,0.98,43147,2.13
06/01/2005,0.97,44999,2.12
07/01/2005,0.97,44960,2.11
08/01/2005,0.98,44241,2.13
09/01/2005,0.96,45852,2.13
10/01/2005,0.97,45632,2.18
11/01/2005,0.96,45938,2.26
12/01/2005,1,46735,2.47
01/01/2006,1.04,46452,2.49
02/01/2006,1.05,47256,2.55
03/01/2006,1.12,46806,2.67
04/01/2006,1.12,48541,2.82
05/01/2006,1.18,48237,2.85
06/01/2006,1.23,49047,2.94
07/01/2006,1.29,48200,3.06
08/01/2006,1.35,47522,3.17
09/01/2006,1.34,49402,3.27
10/01/2006,1.42,48550,3.42
11/01/2006,1.41,48995,3.56
12/01/2006,1.46,49649,3.64
01/01/2007,1.56,49118,3.73
02/01/2007,1.6,49582,3.79
03/01/2007,1.64,50499,3.86
04/01/2007,1.66,51411,3.92
05/01/2007,1.67,50920,4.02
06/01/2007,1.7,52342,4.12
07/01/2007,1.8,50844,4.18
08/01/2007,1.8,50358,4.26
09/01/2007,1.77,51075,4.74
10/01/2007,1.9,49549,4.79
11/01/2007,1.88,51127,4.6
12/01/2007,1.93,51292,4.81
01/01/2008,2.01,51249,4.68
02/01/2008,2.01,51218,4.37
03/01/2008,2.02,51606,4.38
04/01/2008,1.92,53187,4.73
05/01/2008,1.91,53232,4.86
06/01/2008,1.94,53474,4.86
07/01/2008,2.05,53469,4.96
08/01/2008,2.08,52968,4.97
09/01/2008,2.08,53814,4.96
10/01/2008,2.16,51962,5.29
11/01/2008,2.07,52891,4.76
12/01/2008,2.03,52990,3.82
01/01/2009,1.5,54452,2.89
02/01/2009,1.41,55641,2.09
03/01/2009,1.29,56348,1.83
04/01/2009,0.84,58961,1.5
05/01/2009,0.8,59925,1.37
06/01/2009,0.78,60467,1.27
07/01/2009,0.71,62003,1.09
08/01/2009,0.71,61766,0.89
09/01/2009,0.68,64089,0.82
10/01/2009,0.62,65565,0.75
11/01/2009,0.63,65048,0.72
12/01/2009,0.64,67097,0.72
01/01/2010,0.62,66784,0.7
02/01/2010,0.63,66608,0.67
03/01/2010,0.63,66404,0.66
04/01/2010,0.58,69746,0.64
05/01/2010,0.58,67758,0.66
06/01/2010,0.57,69232,0.7
07/01/2010,0.54,70789,0.78
08/01/2010,0.56,67794,0.9
09/01/2010,0.55,68787,0.89
10/01/2010,0.57,70377,0.94
11/01/2010,0.57,69095,1.05
12/01/2010,0.57,70834,1.03
01/01/2011,0.61,69016,1.01
02/01/2011,0.62,68668,1.08
03/01/2011,0.62,69600,1.1
04/01/2011,0.62,73114,1.249
05/01/2011,0.67,69978,1.385
06/01/2011,0.67,71082,1.434
07/01/2011,0.74,70872,1.556
08/01/2011,0.78,69578,1.609
09/01/2011,0.8,71200,1.543
10/01/2011,0.8,72047,1.554
11/01/2011,0.8,70565,1.585
12/01/2011,0.79,72396,1.469
01/01/2012,0.78,70649,1.356
02/01/2012,0.79,69976,1.115
03/01/2012,0.77,73072,0.967
04/01/2012,0.66,75023,0.777
05/01/2012,0.64,71956,0.708
06/01/2012,0.62,76031,0.665
07/01/2012,0.58,73880,0.653
08/01/2012,0.56,76460,0.381
09/01/2012,0.56,74389,0.278
10/01/2012,0.49,78672,0.223
11/01/2012,0.47,80407,0.197
12/01/2012,0.48,81346,0.191
01/01/2013,0.47,79385,0.187
02/01/2013,0.47,79928,0.234
03/01/2013,0.44,83009,0.206
04/01/2013,0.43,85443,0.211
05/01/2013,0.41,85826,0.207
06/01/2013,0.41,84414,0.2
07/01/2013,0.41,84261,0.222
08/01/2013,0.4,86726,0.228
09/01/2013,0.4,83803,0.224
10/01/2013,0.39,87909,0.225
11/01/2013,0.38,89509,0.226
12/01/2013,0.38,89660,0.234
01/01/2014,0.38,89731,0.287
02/01/2014,0.38,89644,0.296
03/01/2014,0.38,87756,0.286
