date,EUR10Y,EUR1Y,EUR3M,EUR5Y,EUR1M
01/09/2004,4.104689789,2.291666737,2.045378842,3.372939684,2.12
01/10/2004,3.999926381,2.217035905,2.06205519,3.220236905,2.15
01/11/2004,3.891160727,2.208083727,2.097555864,3.121088773,2.15
01/12/2004,3.673262174,2.192681,2.096897435,2.977029087,2.17
01/01/2005,3.597031333,2.195881857,2.056953571,2.967851905,2.16
01/02/2005,3.5706658,2.2106379,2.04921005,2.9983385,2.14
01/03/2005,3.734288238,2.233846714,2.054261476,3.105760429,2.14
01/04/2005,3.547107952,2.15130919,2.035872429,2.903921905,2.15
01/05/2005,3.3988605,2.075114,2.018647364,2.742630864,2.13
01/06/2005,3.238843455,1.979082409,2.030003864,2.588446273,2.12
01/07/2005,3.267379238,2.05229619,2.042741381,2.646129762,2.11
01/08/2005,3.277027739,2.108242217,2.062937652,2.696116826,2.13
01/09/2005,3.114675182,2.089900364,2.039170136,2.591651045,2.13
01/10/2005,3.275714,2.280384095,2.061373143,2.818145762,2.18
01/11/2005,3.481829545,2.535020364,2.226698682,3.057067773,2.26
01/12/2005,3.365643476,2.614456286,2.336495333,3.019213905,2.47
01/01/2006,3.334526636,2.659594909,2.375225136,3.042178682,2.49
01/02/2006,3.47917255,2.7319227,2.4442709,3.19354275,2.55
01/03/2006,3.645906478,2.917172783,2.548364696,3.397476304,2.67
01/04/2006,3.923593611,3.025783889,2.572721,3.616969833,2.82
01/05/2006,3.976725318,3.106837727,2.653587636,3.638035409,2.85
01/06/2006,3.981953091,3.202967591,2.756927636,3.676322045,2.94
01/07/2006,3.997262762,3.331401905,2.857407286,3.733031952,3.06
01/08/2006,3.871520304,3.40929713,2.991634348,3.637171087,3.17
01/09/2006,3.73572,3.49770919,3.118344048,3.571056381,3.27
01/10/2006,3.716477682,3.521675409,3.186808636,3.576400545,3.42
01/11/2006,3.687659045,3.604476909,3.305165045,3.598052864,3.56
01/12/2006,3.749813737,3.658167421,3.405193263,3.676103316,3.64
01/01/2007,3.984103091,3.795340227,3.505003727,3.888720182,3.73
01/02/2007,4.015327,3.8343985,3.57779515,3.9092989,3.79
01/03/2007,3.924299727,3.850530591,3.664592,3.822925318,3.86
01/04/2007,4.129897632,3.986857737,3.753069053,4.031375789,3.92
01/05/2007,4.251500273,4.108418818,3.824411909,4.177945636,4.02
01/06/2007,4.526043714,4.237917286,3.89055381,4.435998,4.12
01/07/2007,4.490500045,4.276329182,3.952537318,4.415021545,4.18
01/08/2007,4.323227,4.071209391,3.953870304,4.160613565,4.26
01/09/2007,4.28801515,3.9414575,3.878361,4.07632765,4.74
01/10/2007,4.327638522,3.961887435,3.827790261,4.118394565,4.79
01/11/2007,4.183296682,3.881712818,3.878190318,3.898542091,4.6
01/12/2007,4.306253474,3.945458579,3.812243632,4.021629158,4.81
01/01/2008,4.137377273,3.733836045,3.830646227,3.745939955,4.68
01/02/2008,4.079566,3.467059429,3.838561762,3.525923143,4.37
01/03/2008,4.039557579,3.566443632,3.866372474,3.500151789,4.38
01/04/2008,4.240391455,3.810201591,3.891023864,3.851855727,4.73
01/05/2008,4.369873048,4.012385143,3.883246762,4.051051905,4.86
01/06/2008,4.667171381,4.432963429,4.078805524,4.538978381,4.86
01/07/2008,4.627411522,4.384342391,4.210797565,4.472693739,4.96
01/08/2008,4.376043429,4.206626381,4.251345619,4.084032476,4.97
01/09/2008,4.353613273,4.048086273,4.180800409,3.975290818,4.96
01/10/2008,4.250712043,3.113031609,3.188130565,3.738113696,5.29
01/11/2008,4.0583084,2.44245215,2.3016403,3.3022348,4.76
01/12/2008,3.713799524,1.99493219,1.923826667,3.077697524,3.82
