type,date,rate,comment
EUR01,09/01/2014,0.3,1M
EUR01,12/01/2014,0.336255844882799,3M
EUR01,03/01/2015,-2.35364626527172,6M
EUR01,09/01/2015,-5.69187634987625,1Y
EUR01,09/01/2016,-5.65417743537386,2Y
EUR01,09/01/2017,1.01595759940301,3Y
EUR01,09/01/2018,12.1095118928654,4Y
EUR01,09/01/2019,25.9505723061488,5Y
EUR01,09/01/2020,41.2835579829068,6Y
EUR01,09/01/2021,57.1826772827879,7Y
EUR01,09/01/2022,72.9794171579067,8Y
EUR01,09/01/2023,88.2046386773077,9Y
EUR01,09/01/2024,102.54248367603,10Y
EUR01,09/01/2025,115.793814927739,11Y
EUR01,09/01/2026,127.847336031547,12Y
EUR01,09/01/2027,138.656884033345,13Y
EUR01,09/01/2028,148.223671406554,14Y
EUR01,09/01/2029,156.582485712731,15Y
EUR01,09/01/2030,163.791044366504,16Y
EUR01,09/01/2031,169.921856110676,17Y
EUR01,09/01/2032,175.056066374434,18Y
EUR01,09/01/2033,179.278865827311,19Y
EUR01,09/01/2034,182.676124416171,20Y
EUR01,09/01/2035,185.331980482578,21Y
EUR01,09/01/2036,187.327169076552,22Y
EUR01,09/01/2037,188.737917666707,23Y
EUR01,09/01/2038,189.635273027568,24Y
EUR01,09/01/2039,190.08475174483,25Y
EUR01,09/01/2040,190.146229813196,26Y
EUR01,09/01/2041,189.874005268035,27Y
EUR01,09/01/2042,189.316982556526,28Y
EUR01,09/01/2043,188.518939122201,29Y
EUR01,09/01/2044,187.518844024529,30Y
EUR02,09/01/2014,200,1M
EUR02,12/01/2014,200,3M
EUR02,03/01/2014,200,6M
EUR02,09/01/2015,200,1Y
EUR02,09/01/2016,200,2Y
EUR02,09/01/2017,200,3Y
EUR02,09/01/2018,200,4Y
EUR02,09/01/2019,200,5Y
EUR02,09/01/2020,200,6Y
EUR02,09/01/2021,200,7Y
EUR02,09/01/2022,200,8Y
EUR02,09/01/2023,200,9Y
EUR02,09/01/2024,200,10Y
EUR02,09/01/2025,200,11Y
EUR02,09/01/2026,200,12Y
EUR02,09/01/2027,200,13Y
EUR02,09/01/2028,200,14Y
EUR02,09/01/2029,200,15Y
EUR02,09/01/2030,200,16Y
EUR02,09/01/2031,200,17Y
EUR02,09/01/2032,200,18Y
EUR02,09/01/2033,200,19Y
EUR02,09/01/2034,200,20Y
EUR02,09/01/2035,200,21Y
EUR02,09/01/2036,200,22Y
EUR02,09/01/2037,200,23Y
EUR02,09/01/2038,200,24Y
EUR02,09/01/2039,200,25Y
EUR02,09/01/2040,200,26Y
EUR02,09/01/2041,200,27Y
EUR02,09/01/2042,200,28Y
EUR02,09/01/2043,200,29Y
EUR02,09/01/2044,200,30Y
