1;2;3;4;5;6;7;8;10;11;12;13;15;16;18;19;20;21;22;23;24;25;27;28;30;34;35;36;39;40;41;43;44
;11.1;1;;11.6;;5.5;9.8;;2;;14.8;10.8;;8;;3.6;22.2;3.3;;22.8;;;1;;;;;;;;;
;;;;;;8.4;;;;;;3;4.7;;0.4;;17;;3;;;;8;;;;;;;;;
;;;;7;;23.4;1.5;;3.6;8.8;5.8;8.5;3;2;;4;16;1.15;;0.75;;;17.8;;;;;;;;;
;;1;;87;;12.3;;;;30;15.5;42;;;;;;;73.6;;;;33;;;;;;;;;
;;9.9;;;3;26;4.5;;2.5;33;18;35.7;4;2;;9.25;42.5;14;20.5;7.5;;0.15;11;;;;;;;;;
;11.3;7.1;;9;;21.5;1.8;;2.6;5.8;;8.2;7.6;7.1;;2.69;12.9;;3.5;9.7;;;1.7;;;;;;;;;
;1.5;8.4;;;1.5;;;;4.5;12.9;10;9.4;3.7;14.3;1;3.2;18.5;1.25;3.8;4.3;;;5.9;;;;;;;;;
;;;;2.5;2;6.5;;;2.4;;2.4;16.2;3.6;1.2;;3.2;3.85;1.2;5;24.3;;;0.75;;;;;;;;;
;;1.15;;1.17;;1.25;0.5;;0.6;;1.25;;2.99;;;;;;2.78;0.35;;;;;;;;;;;;
;;1.5;;;;2.4;3;;;;5;;;;7.7;0.51;11;0.8;1.5;3;;;5;;;;;;0.4;;;
;;5;;;;7;;;3.2;;38;;;;0.5;5;;;6;;;0.1;;;;;;;;;;
;9;;;2.5;6;22.8;4.5;;30;44;;69.8;;18.05;6.5;44.3;95.1;5.5;36;11.1;;;5;;;;;;;;;
;;;;2;;11;;;;3;5;;2;;;1.5;4;1.8;;;;;7;;;;;;;;;
;;;;;;;0.5;;;;;2.5;;;;;6.6;;1.2;1;;;;;;;;;;;;
;;;;;;4.9;2;;1.46;;15;18;3;;;2.5;18.5;;;4.4;;;12.8;;;;;;;;;
;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;
;4;4.6;;;;14.3;;;2.53;6.2;6.69;5;;;4.19;;17;0.8;1;;;;2.7;;1;;;;;;2.2;
;0.4;11.6;;8;15.49;25;;;3.3;46;17;48;11.9;13;;12;;6.6;27;4;;;36.5;;;;;;;;;
;;;;;;2;;;0.5;;;5.4;5;;;0.75;5.3;;;2.43;;;1.5;;;;;;;;;
;;;;;;;;;;;;;1.5;;;;2.6;1.2;;1.5;;;2;;;;;;;;;
;5.1;;;2;2;8.5;2.91;;1;3.15;7.4;22.35;1.8;;2.2;2.6;;1.8;16.5;;;;6;;;;;;;;;
;1.2;1.5;;0.65;0.5;3.64;;;3.4;;1.15;1.5;;1;;;;;1.3;0.5;;;0.2;;;;;;;;;
;;;;0.5;;;;;;8.45;;;;;;;;;1.9;;;;;;;;;;;;;
;2.4;2.4;;2.4;;;;;;2.4;;4.8;;;;;6.8;;;;;;;;;;;;;;;
;;;;2;;2.3;2;;2;3.7;3.5;6.2;2;;2.4;2.9;3;4.3;6.5;5.8;;;1;;;;;;;;;
;;0.75;;1.48;;;;;0.95;;20.815;;;;;;9.95;;;;;;;;;;;;;;;
;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;0.9;;1.365;1.595;;6.16;2.93;;10.41;;;;;;0.475;4.395;;;;;;;;;;;;;
;;;;;;2;;;4.8;;;;;0.6;;1.2;;;0.3;;;;;;0.2;;;;;;;
;;;;;;;;;;;;;;;;;;0.9;16.5;;;;;;;;;;;;;
;;;;;;;;;0.8;;;0.32;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1.31;;1.24;;2.61;;;;1.59;;;;;;;;;0.8;;;;;;0.1;;;;;;;
